Title,Abstract,Authors,identifierKeywords,Database,Selection,Selection criteria violation,Flagged to read later
Energy Conservation. CORD Energy Technology Series,"This course in energy conservation is one of 16 courses in the Energy Conservation-and-Use Technology curriculum. Intended for use in two-year postsecondary technical institutions to prepare technicians for employment, the courses are also useful in industry for updating employees in company-sponsored training programs. Comprised of seven modules, the course is designed to give the student technical knowledge and specific skills required to perform conservation measures relative to the most common energy uses. The student learns and utilizes the basic principles of energy conservation and efficiency. Written by a technical expert and approved by industry representatives, each module contains the following elements: introduction, prerequisites, objectives, subject matter, exercises, laboratory materials, laboratory procedures (experiment section for hands-on portion), data tables (included in most basic courses to help students learn to collect or organize data), references, and glossary. Module titles are Energy Conservation--An Introduction, Conservation Principles and Efficiency Measurements (CPEM)--Space Heating, CPEM--Space Cooling, CPEM--Hot Water and Steam Supply Systems, CPEM--Illumination, CPEM--Electric Motors, and CPEM--Building Construction. (YLB)",,,ERIC,No,2. STEAM educational project,
Engineering Encounters: Creating a Prosthetic Hand,"The power of 3D printing technology has grown exponentially in just the past few years--people around the world are using 3D printers to prepare food, create tailored clothing, build cars and homes, and advance the medical field in ways that never seemed possible. In classrooms across the nation, 3D printers have become increasingly common because of their affordability and ease of use. Given the focus the ""Next Generation Science Standards"" (NGSS Lead States 2013) and the ""Standards for Technology Literacy"" (ITEA 2007) place on engineering and design, 3D printers are enabling students to create tangible design solutions and inspire models of applied science, technology, engineering, arts, and mathematics (STEAM). Teachers have recently begun to capitalize on the benefits of using 3D printers to facilitate makerspaces--spaces where people can gather to create something or learn how to--in elementary classrooms. Allowing young students to create and innovate their own design solutions to real-world problems emulates how real science and engineering is done. In this article, the authors explore how one teacher employed 3D printing technology with fourth-grade students in a Science, Technology, Engineering, the Arts and Mathematics (STEAM) lab to design and create a prosthetic hand. Mr. Smith's (pseudonym) vision for the STEAM lab, which he conceptualizes as a makerspace where learners of all abilities use multiple disciplines to solve problems, is to inspire a love of learning in students and to create a space for authentic inquiry about their world.","Cook, Kristin Leigh;Bush, Sarah B.;Cox, Richard","Elementary Education , Grade 4 , Intermediate Grades , Teachers",ERIC,No,1. Space related,
Engineering the Future Workforce Required by a Global Engineering Industry,"Engineering the Future Workforce required by a Global Engineering IndustryThe last decades have brought numerous changes to the engineering workforce. These changeshave been caused both by the increased specialization of skills required by the continuousapplication of innovative technologies and the geopolitical changes enabling global collaborationof engineering design teams. These phenomena, coupled with challenges in the workforcedemographics have created an environment requiring dramatic changes in the way that youth andadolescents in primary, secondary, and post-secondary education are educated to ensure theirfuture career success.While individual teachers have made great strides in improving the learning of their individualstudents to accommodate the requirements of a global workforce in the 21st century overallengineering companies and governmental agencies are challenged by the quantity and quality ofgraduates produced by the education system at all levels. To solve this dilemma a very largeaerospace company and a national space agency have jointly engineered a program inpartnership with educational institutions which prepares students with skills in the Science,Technology, Engineering, Arts, and Mathematics (STEAM) areas and does so collaborativelyacross the nation.While the very large aerospace company and governmental space agency have various educationprograms at all levels of the education system, this paper will focus on the joint efforts to engagevarious engineering universities and secondary education institutions across the United States byhaving geographically-dispersed, student teams comprised of members from various universitieswork together to solve an epic engineering challenge. These epic challenges address issues ofglobal concern, e.g., capturing and retrieving an asteroid, monitoring agricultural fields toincrease yield, or assisting first responders, and require a multidisciplinary skill set. This paperwill define the detailed processes required for such a multi-organizational endeavor, rangingfrom the recruitment and organization of partners, to the development of a joint curriculum andexecution of the program. These processes are based on the experiences, by both the very largeaerospace company and governmental space agency, in successfully carrying such multi-stakeholders initiatives within the education systems.While both organizations represented by the authors are aware of the limitations andshortcomings of the current education system, a paradigm change cannot be implementedovernight. This paper will therefor also detail how the jointly engineered program satisfiesABET criteria and will contrast benefits with traditional programs. In addition, a framework willbe presented that will enable the application of these processes to primary and secondaryeducation enabling students to have validated skills that are directly related to national scienceand engineering standards as well as workforce requirements. It is the intention of bothorganizations to leverage their respective technical expertise to engineer a multifunctionalsystems that can provide a workforce based on national objectives and industry requirements.","Richey, Michael;Zender, Fabian;Camarda, Charles J",Diversity,Publicly Available Content Database,No,1. Space related,
Global root zone storage capacity from satellite-based evaporation,"This study presents an “Earth observation-based” method for estimating root zone storage capacity – a critical, yet uncertain parameter in hydrological and land surface modelling. By assuming that vegetation optimises its root zone storage capacity to bridge critical dry periods, we were able to use state-of-the-art satellite-based evaporation data computed with independent energy balance equations to derive gridded root zone storage capacity at global scale. This approach does not require soil or vegetation information, is model independent, and is in principle scale independent. In contrast to a traditional look-up table approach, our method captures the variability in root zone storage capacity within land cover types, including in rainforests where direct measurements of root depths otherwise are scarce. Implementing the estimated root zone storage capacity in the global hydrological model STEAM (Simple Terrestrial Evaporation to Atmosphere Model) improved evaporation simulation overall, and in particular during the least evaporating months in sub-humid to humid regions with moderate to high seasonality. Our results suggest that several forest types are able to create a large storage to buffer for severe droughts (with a very long return period), in contrast to, for example, savannahs and woody savannahs (medium length return period), as well as grasslands, shrublands, and croplands (very short return period). The presented method to estimate root zone storage capacity eliminates the need for poor resolution soil and rooting depth data that form a limitation for achieving progress in the global land surface modelling community.","Wang-Erlandsson, Lan;Bastiaanssen, Wim G M;Gao, Hongkai;Jägermeyr, Jonas;Senay, Gabriel B;Albert I J M van Dijk;Guerschman, Juan P;Keys, Patrick W;Gordon, Line J;Savenije, Hubert H G",,Publicly Available Content Database,No,2. STEAM educational project,
Innovating Industrial Design Curriculum in a Knowledge-Based and Participatory Digital Era,"This article narrates on three years participatory research between 2012 and 2014 and its formulation for a 2016 undergraduate industrial design curriculum launch. It contributes to design culture transformation since there are leading breakthrough education exemplars but lack of pathways to get there by conservative courses and institutions. The course proposes an individual and collective knowledge creation model through social constructivism and constructionism that recognises its place in time and history. It intends catching up with a profession transformed beyond a digital Bauhaus manifesto that bridges physical and digital artefacts, space and environments through quality of experiences, intelligence, networks and relations. Data and practice supported pedagogy redefinition from master-apprentice and teacher-centred skill transmission models to heutagogy and paragogy. The new approach required habitus change from a traditional goods-centred discipline to human-centred focus, critical design and making, design heuristics, CDIO (conceiving, designing, implementing, operating) and STEAM (science, technology, arts, mathematics) frameworks. Participants worked empathetically to contextualise, problem frame and solve by crossing boundaries between disciplines, institutions, industries, and students’ background and society. Research and practice promoted new forms of industrial design creation happening in physical and digital coexisting spaces of being. The curriculum expressed through units that evolved around an e-curriculum component working as a digital spine that progressed from standard social networking and industry collaboration to international design studio and design factory projects. It became foundation for future physical-digital industrial design artefacts, human computer interaction, machine learning, and systems built on hacker culture, shared information, free open-source software and hardware.","Novoa, Mauricio",,Design & Applied Arts Index (DAAI),No,1. Space related,
MAKER: Locomotive Steam Engine Valve Plug,"Acquiring replacement parts for ageing equipment and mechanisms has become increasingly difficult due to the lack of original engineering drawings, the variability between the machines themselves, and the low to nonexistent availability of replacements. Additionally, older machine parts tended to be single-made, versus mass produced, which further complicates finding an appropriate replacement. This is a distinct problem when dealing with ageing machines that are still in use, but cannot be easily fixed. This paper presents an example of how reverse engineering, modeling, and prototyping using a Maker Space may be employed to generate a part for an ageing steam locomotive. To further student learning of reverse engineering and modeling, this project was additionally used to fulfill and Honor’s Contract in an introductory 3D constraint-based modeling course.1","Baker, Arlynn;Ferguson, Chip W",,Publicly Available Content Database,No,1. Space related,
Natural Nanotechnology: Examples of Creating a Culture of Outreach with Accessible and Adaptable Modules,"Many engineering faculty and students may have good intentions for conducting outreach. However, enthusiastic intentions are easily thwarted by difficulty coming up with an idea lack of preparation time, difficulty procuring materials and need for specialized space. In addition, recruiting a diverse next generation of engineers requires engaging not only K-12 students but also their families and their teachers. These groups may view engineering and nanotechnology as intimidating, difficult to comprehend, or even scary. They may also have preconceived ideas about “what an engineer looks like.” Facilitators of outreach activities can worsen these problems with overly detailed explanations, a lack of confidence in their own understanding, and/or a lack of diversity among outreach facilitators. All of these challenges can be overcome by creating a culture of outreach where faculty, graduate, and undergraduate students work as a team to develop and implement outreach activities. As students develop a passion for, and confidence in, leading outreach activities they can train other students reducing the burden on faculty time. Connecting engineering content to nature and art can overcome participant misconceptions and facilitate engagement. This paper describes two modules developed by chemical engineering and education students under an NSF Math Science Partnership Grant: 1) Why are Abalone Seashells so Strong and Shiny, and 2) Finding the Nano in the Trees. The first module was largely developed by a chemical engineering undergraduate researcher. The second module was developed by a team of education students and a chemical engineering graduate students. Both activities have been disseminated in multiple formats including the SECME Summer Institute for teachers, K-12 classrooms, university open houses, and student organizations’ outreach activities. In the abalone module, students are given antacid, calcium supplements, and baby abalone sea shells. They are asked about similarities and differences and to hypothesize which material will break most and least easily. Participants of all ages enjoy testing the toughness of the materials by dropping fishing weights through PVC pipe onto the objects. From the mass and drop height, they can determine that the “strongest” material is the thin abalone sea shell. They are then given a baked seashell, and can easily break it. This facilitates explanation of how abalone’s strength (and appearance) are the result of its nanoscale brick and mortar structure and cooking the shells weakens the mortar. Depending on the audience quantitative calculations of energy absorption can be performed, protein denaturation can be described, or biomimetic nanomaterials can be discussed in more detail. The second activity builds on chemical engineering’s long history with the paper industry. In this STEM to STEAM activity participants make decorative paper, and are then asked if there is something smaller than the pulp they used to make the paper and what would happen if they assembled this smaller material. They are then given aqueous dispersions of cellulose nanocrystals and produce birefringent iridescent films by drop casting samples on slides. The success of both modules has been related to the hands on nature of the activities, the ready availability of materials and that they can easily be implemented with little preparation using portable materials and equipment. For example, the abalone module was conducted at both a STEM after school program for at risk youth, and the Tuskegee Science and Technology Open House with less than ten minutes of preparation by the SHPE officers running the activity. It was also implemented in a more in depth format to introduce experimental design, energy calculations and unit conversions. Broad adaptation of the Nano in the Trees module has been impeded by the need for an optical microscope, but this is being overcome by using cell phone cameras and polarized film. In addition to these specific modules, national programs such as NanoDays have not only introduced numerous communities to nanotechnology they have given a diverse group of students confidence in leading outreach not only while attending a university but after graduation.","Davis, Virginia A",Diversity,Publicly Available Content Database,No,1. Space related,
Scientists for Tomorrow - A Self-Sustained Initiative to Promote STEM in Out-of-School Time Frameworks in Under-served Community-Based Organizations: Evaluation and Lessons Learned,"On 2011, the Scientists for Tomorrow (SfT) Initiative started with the support of an NSF-ISE grant for a period of two years serving 15 sites. Today the initiative is in its sixth year, serving more than 40 community based organizations (CBOs) sites, 600 middle school student and 150 parents per semester in a self-sustained mode. The SfT initiative is designed to provide urban youth in Chicago with information and skills related to science, technology, engineering, and math (STEM) careers and foster positive attitudes toward Stem subjects and related careers. Given that the initiative is hosted in the Department of Science and Mathematics – Columbia College Chicago, an art and media school, the contents promoted in the communities include also an Art component, changing from STEM to STEAM. The initiative is a partnership between a higher education institutions, local community based organizations (CBO’s) and local Informal Science Education providers. In the original design, the implementation of the program in the communities during the academic year, was divided into 3 sessions of 10 weeks: Fall (October-December); Winter (January- March) and Spring (April – June). Each session explores a different module such as Alternative Energies, Physics of Sound and Mathematics of Music, People and Plants, Robotics or Astronomy. Before each session starts, SfT provides more than 15 hours of professional development for all of the instructors involved in the program (staff members from the CBO’s, grad and undergrad students). Each session includes 10 meetings (once per week) of 90 minutes with an end of the module showcase the last session. At the end of each module, all of the CBO’s sites participate in a Family Science Day in one of the ISE venues partners: Museum of Science and Industry (December), Field Museum (March), and Garfield Conservatory (June). The question the initiative explores is if there are changes in participants’ and CBOs leadership attitude towards STEAM and gain of content knowledge. For this effect, participants are given a pre and post attitude test for each module per session, in order to determine their knowledge and awareness towards STEM. These tests are scored through an external evaluator and provide quality information for how to modify curriculum in the future. Additionally, all instructors are required to complete Activity Journal Logs after each of their class sessions. These internal evaluations allow instructors to reflect on their formative assessment techniques, as well as find where they needed more support. Leadership within the program reads the logs daily and reacts accordingly, providing all necessary resources. Finally, the Community Site Director, Coordinators and Volunteers are given a survey to evaluate the program as a whole, at the end of each module. These are internally analyzed to find effective improve the partnership as well as their STEAM afterschool program. The result of the four years external evaluation (two years of the grants and two years no-cost extension) shows that the initiative has a significant positive impact in the attitude toward STEM of the participants as well as in their gain of content knowledge. Also shows a significant positive change of attitude from the CBO’s leadership toward the introduction of STEAM academic enrichment activities as part of the regular activities in their OST programs. Some of the learned lessons include 1) the need to have more parental involvement in the OST activities of their children to ensure the success of the initiative, 2) have a flexible professional development and instructors follow up strategy to ensure the quality of the learning process and the growth of the CBOs capacity to continue promoting STEAM as an integral part of their OST educational offer, and 3) the need to promote the public perception that OST learning is important as formal education to promote the children, especially in under-served communities.","Caplan, Marcelo",Diversity,Publicly Available Content Database,No,1. Space related,
STEAM-GAAR Field Learning Model to Enhance Grit,"The STEAM-GAAR Field Learning Model to Enhance Grit is a learning model using STEAM education (Science, Technology, Engineering, Art and Mathematics) integrated with gamification (G), animation (A), augmented reality (AR) and space utilization (Field) to promote the factors that enhance a learner's grit. The purpose of this research is to: (1) synthesize a STEAM-GAAR Field Learning Model to Enhance Grit; (2) evaluate the STEAM-GAAR Field Learning Model to Enhance Grit. The sample is made up of ten specialists--two instructional model design specialists, two STEAM education specialists, two gamification specialists, two animation specialists, and two augmented reality (AR) specialists--selected by purposive sampling. The instrument used in the study was an evaluation form with regard to the Model. The statistics used in the study were arithmetic mean and standard deviation. The results show that: (1) a STEAM-GAAR Field Learning Model to Enhance Grit contains four elements. The first element relates to input factors including 1) Expected Learning Outcomes (ELO), 2) Learning Objectives, 3) Teacher Analysis, 4) Student Analysis, 5) Content Analysis, 6) Environment Analysis, and 7) The Learning Management Plan. The second element relates to the STEAM-GAAR Field Learning Process, including 1) Investigate by Game, 2) Discover by AR-Game, 3) Connect by Animation and Game, 4) Create by Game Animation and AR and 5) Reflect by Knowledge Exchange Field. The third element relates to evaluating learning achievement and grit, conducted via teachers' observation and an evaluation form. And the final element relates to an analysis of feedback; (2) All ten specialists agreed that the STEAM-GAAR Field Learning Model to Enhance Grit developed through this study demonstrates the highest level of appropriateness (X bar= 4.65, S.D. = 0.57).","Chujitarom, Wannaporn;Piriyasurawong, Pallop",,ERIC,No,1. Space related,
Teaching the Concept of Time: A STEAM-Based Program on Computational Thinking in Science Education,"The aim of this research was to develop a STEAM-based program for teaching middle school students the concept of time to enhance their computational thinking skills. The proposed Time Teaching Program (TTP) consists of modules and activities on the definition of time, historical development of time measurement tools, universal time measurement system, space--time theory, and time as a fourth dimension. To determine the effectiveness of TTP and its effect on middle school students' computational thinking skills, a mixed methodology was adopted in which both a quasi-experimental design including a pretest-posttest control group and an observational case study were used concurrently. The study group consisted of eighth-grade students from a public middle school in Turkey, selected according to the convenient sampling method. A computational thinking test was used to collect quantitative data, and observations and semi-structured interviews were utilized for the collection of qualitative data. According to the results of analyses, when the effects of the pretest scores were not considered, there was a significant difference (F[subscript 0.469], 1, R[superscript 2] = 0.518) between the final test scores of the experimental and control groups in favor of the former. Based on these findings, it can be stated that the proposed STEAM-based program significantly improves the computational thinking skills of eighth-grade middle school students.","Bati, Kaan;Yetisir, Mehmet Ikbal;Çaliskan, Ilke;Günes, Gökhan;Gül Saçan, Esma","Middle Schools , Secondary Education , Junior High Schools , Grade 8 , Elementary Education , Turkey (Ankara)",ERIC,No,1. Space related,
Teaching the concept of time: A steam-based program on computational thinking in science education,"The aim of this research was to develop a STEAM-based program for teaching middle school students the concept of time to enhance their computational thinking skills. The proposed Time Teaching Program (TTP) consists of modules and activities on the definition of time, historical development of time measurement tools, universal time measurement system, space–time theory, and time as a fourth dimension. To determine the effectiveness of TTP and its effect on middle school students’ computational thinking skills, a mixed methodology was adopted in which both a quasi-experimental design including a pretest–posttest control group and an observational case study were used concurrently. The study group consisted of eighth-grade students from a public middle school in Turkey, selected according to the convenient sampling method. A computational thinking test was used to collect quantitative data, and observations and semi-structured interviews were utilized for the collection of qualitative data. According to the results of analyses, when the effects of the pretest scores were not considered, there was a significant difference ( F . 469 , 1, R 2 &#xa0;=&#xa0;.518) between the final test scores of the experimental and control groups in favor of the former. Based on these findings, it can be stated that the proposed STEAM-based program significantly improves the computational thinking skills of eighth-grade middle school students.","Bati, Kaan;Yetişir, Mehmet Ikbal;Çalişkan, Ilke;Güneş, Gökhan;Saçan, Esma Gül","science education , STEAM , computational thinking , time",Publicly Available Content Database,No,4. Duplication,
"UMES STEM Faculty, Students, and Staff Collaborate to Address Contemporary Issues Related to Energy, Environment, and Sustainable Agriculture","UMES STEM FACULTY, STUDENTS, AND STAFF COLLABORATE TO ADDRESS CONTEMPORARY ISSUES RELATED TO ENERGY, ENVIRONMENT, AND SUSTAINABLE AGRICULTUREAbstract“The Bio-Fuel, Sustainability, and Geospatial Information Technologies to Enhance ExperientialLearning Paradigm for Precision Agriculture Project”, recently funded by the United StatesDepartment of Agriculture (USDA) extends the environmental stewardship archetype of thepreceding project titled “Environmentally Conscious Precision Agriculture: A Platform for ActiveLearning and Community Engagement” (completed in September 2011). The initial phase of theproject to demonstrate the production of biodiesel using waste vegetable oil (WVO) from campusdining services has been successfully executed by UMES student team. Under the supervision ofthe project leaders, the students have worked in teams to collect, dewater, and filter the WVO;supported the acquisition of supplies and installation of the biodiesel processor; performednecessary titration and laboratory tests on the WVO to determine appropriate amounts ofchemicals ( sodium hydroxide, methanol, and sulfuric acid) to be used with a batch of WVO inthe processor for the esterification and transesterification reactions; and operated and monitoredthe 48 hour biodiesel production and washing cycle of the processor. Besides biodiesel theprocess produces glycerin as byproduct. The glycerin has been used to produce soap successfullyby the students. Students have also tested ‘gelling’ tendency of different blends of biodiesel andare currently working with the UMES farm manager to identify and appropriately modify farmequipment for biodiesel use. Students are also working with the university safety office to refinesafety considerations to comply with OSHA and municipality requirements. Students will beinvolved in managing broader logistics of scheduling the processor operation for biodieselproduction and utilization, based on needs of the farm equipment. The project team plans torefine the processing of glycerin by-product to improve the aesthetics, fragrance, and otherqualitative parameters of the soap so that they may sell it for possible fund-raising efforts forselected student organizations.The project leaders have encouraged all “STEAM” (science, technology, engineering, agriculture,and mathematics) majors to participate in the ongoing efforts and are exploring involvement ofinterested business, human ecology, and fine-arts students to address some of the new dimensionsof the project. Maryland Space Grant Consortium has provided supplementary support forinterested undergraduate students, particularly from the underserved population to get involved.The broader scope of the project includes use of biodiesel, a carbon neutral energy source, for usewith farm equipment and as an alternative transportation fuel to address climate change andsustainable energy related issues. Furthermore, the project will continue to address use of remotesensing and advanced geospatial information technology tools to optimize use of nutrients, water,and other resources for efficient production agriculture practices that are critical to provide foodfor a growing population on the planet in a sustainable fashion.","Nagchaudhuri, Abhijit;Mitra, Madhumi;Teays, Terry John;Daughtry, Craig S T;Schwarz, Jurgen G;Marsh, Lurline",,Publicly Available Content Database,No,1. Space related,
Wireless Drop Tower for Microgravity Demonstrations. Educational Brief,"Microgravity-the absence or reduction of some of the effects of gravity-is an important attribute of free-fall. In microgravity (often incorrectly called zero-g), water no longer flows ""downhill"" and neither do smoke or steam bubbles rise. This changes a number of chemical and physical activities. Experiments in combustion, fluid behavior, materials formation, cell science, and even fundamental physics formed an important part of the research conducted aboard the Space Shuttle in the 1980s and '90s. This educational brief for grades 9-12 provides assembly instructions for constructing a mini drop tower. The drop tower holds demonstration payloads such as a postage scale, a birthday candle, and an oil-drop toy. (MVL)",,"Practitioners , Teachers",ERIC,No,1. Space related,
"""Finding the Joy in the Unknown"": Implementation of STEAM Teaching Practices in Middle School Science and Math Classrooms","In response to a desire to strengthen the economy, educational settings are emphasizing science, technology, engineering, and mathematics (STEM) curriculum and programs. Yet, because of the narrow approach to STEM, educational leaders continue to call for a more balanced approach to teaching and learning, which includes the arts, design, and humanities. This desire created space for science, technology, engineering, arts, and mathematics (STEAM) education, a transdisciplinary approach that focuses on problem-solving. STEAM-based curricula and STEAM-themed schools are appearing all over the globe. This growing national and global attention to STEAM provides an opportunity for teacher education to explore the ways in which teachers implement STEAM practices, examining the successes and challenges, and how teachers are beginning to make sense of this innovative teaching practice. The purpose of this paper is to examine the implementation of STEAM teaching practices in science and math middle school classrooms, in hopes to provide research-based evidence on this emerging topic to guide teacher educators.","Quigley, Cassie F.;Herro, Dani","Middle Schools , Secondary Education , Junior High Schools",ERIC,No,1. Space related,
Cases on STEAM Education in Practice,"Curriculums for STEM education programs have been successfully implemented into numerous school systems for many years. Recently, the integration of arts education into such programs has proven to be significantly beneficial to students, resulting in a new method of teaching including science, technology, engineering, art, and mathematics. ""Cases on STEAM Education in Practice"" is an essential research publication for the latest scholarly information on curriculum development, instructional design, and educational benefits of STEAM learning initiatives. Featuring coverage on a range of topics including fine arts, differentiated instruction, and student engagement, this book is ideally designed for academicians, researchers, and professionals seeking current research on the implementation of STEAM education. Following a preface (Judith A. Bazler and Meta Van Sickle), contents include: (1) Introduction (Judith A. Bazler and Meta Van Sickle); (2) Musing on Unanswered Questions (Meta Van Sickle and Merrie Koester); (3) Graphic Novels and STEAM: Strategies and Texts for Utilization in STEAM Education (Alex Romagnoli); (4) High-Quality Trade Books and Content Areas: Planning Accordingly for Rich Instruction (Carolyn A. Groff); (5) Getting to ""Know"" STEAM (Merrie Koester); (6) Exploring Simple Machines With Creative Movement (William Paul Lindquist, Martha James-Hassan, and Nathan C. Lindquist); (7) Theater as the STEAM Engine for Engaging Those Previously Disengaged (Paul C. Jablon); (8) ""Imagioneering"" a New Mission Space (Kyle Seiverd); (9) Bee Pollination (Kerry Carley Rizzuto, John Henning, and Catherine Duckett); (10) Finding and Using the ART in Science Lessons (Kevin D. Finson); (11) Tower Design as a STEAM Project (Judith A. Bazler); (12) Using Air to Move Paper Airplanes and Balloon Rockets: The Great Race (Letitia Graybill); (13) A Mathematical Approach to Designing Insulators (Kathryn E. Pedings-Behling); (14) Constructing a Marshmallow Catapult (Warren James DiBiase, Judith R. McDonald, and Kellan Strong); (15) Engineering and Art: Putting the EA in STEAM (Sara B. Smith); (16) Using STEAM in Marine Science: Incorporating Graphic Design Into an Existing STEM Lesson (Callie Dollahon); (17) Cases on STEAM Education in Practice: Differentiated Instruction (Kathryn L. Servilio); and (18) Conclusion (Diane Cudahy). A compilation of references, information about the contributors, and an index are included.",,Researchers,ERIC,No,1. Space related,
Changing the World for Good: Tech Trek Alabama Changes 8th Grade Girls’ Attitudes Towards STEM,"Changing the World for Good: Tech Trek Alabama Changes 8th Grade Girls’ Attitudes Towards STEM The American Association of University Women (AAUW) research report ”Why SoFew? Women in Science, Technology, Engineering, and Mathematics (STEM)” found thatwomen are vastly underrepresented in STEM majors and fields compared with their male peers.But “Why So Few?” also showed that those numbers can change when girls realize theirpotential in STEM at an early age. In 2012, AAUW decided to provide girls across the countrythe opportunity to immerse themselves in hands-on exploration of STEM topics in order toencourage them to take more advanced STEM classes in high school and go on to major inSTEM fields in college. Using the model developed in California, AAUW brought Tech Trek, aweeklong summer camp for rising eighth-grade girls that is designed to develop interest,excitement, and self-confidence in STEM through classes, workshops, hands-on activities, andfield trips to four national sites in 2013.The inaugural Alabama Tech Trek camp, a partnership between the local AAUW branch andInstitution was held July 20-25, 2014. The girls spent 17.5 hours in core classes, choosing fromrobotics, app development, and life science. They also gained exposure to additional areas ofSTEM through workshops, a field trip, and evening activities. Technical workshops includedinstant challenges conducted by trained evaluators from Destination Imagination, rocket buildingand the engineering design process led by NASA Education, and DNA extraction at the HudsonAlpha Institute for Biotechnology. Non-technical presentations included communicating your bigidea, STEAM, and stress release. The campers also toured a prototyping facility at Dynetics, Inc.and took the Ultimate Math Field Trip challenge at the US Space and Rocket Center. Thehighlight of the week was the Professional Women’s Night, an event that involved professionalsrotating among groups of girls, speed dating style.Significant Findings: The number of girls strongly agreeing with the statement “I plan to takeadvanced science and math courses in high school” went from 34 in the pre-camp survey to 39 inthe post-camp survey, an increase of 14.7 %. The number of girls strongly agreeing with thestatement “I’m thinking of having a career in science or technology” went from 24 in the pre-camp survey to 38 in the post-camp survey, an increase of 58.3 %.","Gaede, Rhonda Kay",Diversity,Publicly Available Content Database,No,1. Space related,
Dancing with STEAM: Creative Movement Generates Electricity for Young Learners,"The integration of science, technology, engineering, arts, and mathematics (STEAM) serves to develop creative thinking and twenty-first-century skills in the classroom (Maeda 2012). Learning through STEAM promotes novelty, innovation, ingenuity, and task-specific purposefulness to solve real-world problems--all aspects that define creativity. Lisa Fanning is a fifth-grade teacher at a public elementary school with school-wide arts integration at the core of its vision. Fanning participated in a district-wide professional development project through which she partnered with a dance teaching artist. Together with her partner, she engaged in a 12-hour workshop to develop common understandings about curricular intersections, practiced co-teaching structures, and devised essential questions to guide their lesson planning. They subsequently engaged in 24 hours of additional professional development during a summer institute to learn specific methodology in dance integration, including elements, strategies, and facilitation techniques. During the summer institute, Jamie Simpson Steele (a performing arts specialist) and Lori Fulton (a science educator) provided a framework for thinking about STEAM intersections and examples of art and science integrated experiences for teachers and teaching artists. Next, Fanning and her teaching artist partner co-planned and co-taught a semester-long inquiry to investigate this question: How does energy transform? This inquiry engaged students in hands-on activities, field-based experiences, interviews with experts, science notebooks, creative movement improvisation, dance choreography, and a call for social activism. The collaborations consisted of ten sessions of planning time and ten co-taught lessons in the classroom. Fanning's unit focused on the properties of wind and how its energy could be stored, transformed, and transferred for use. The science objective required students to describe how later when they engineered turbines). To explore the relationship among the earth, sea, and sky, students connected to their personal experiences at the beach and did further observation and research. Students converted these ideas into a model by expanding, rising, and pushing their bodies through space. Finally, students responded to the work of their peers, practicing artistic thinking by observing, describing, and interpreting each other's movements (Harris 2013). The unit culminated in a public performance with invited parents and community members. During this sharing, students performed original choreography, exhibited wind turbines, led station activities to inform their guests about the wind as a source of energy, and engaged in a mock demonstration advocating for renewable energy.","Simpson Steele, Jamie;Fulton, Lori;Fanning, Lisa","Elementary Education , Grade 5 , Intermediate Grades , Middle Schools",ERIC,No,1. Space related,
